DSI,Relation,Dis,Source,Effectiveness Rating,Source_Description
DSI007841,is_effective_for,DIS000002,MSKCC,,
DSI007841,is_effective_for,DIS000006,MSKCC,,
DSI000171,is_effective_for,DIS000034,MSKCC,,
DSI000171,is_effective_for,DIS000035,MSKCC,,
DSI000171,is_effective_for,DIS000006,MSKCC,,
DSI006373,is_effective_for,DIS000006,MSKCC,,
DSI000268,is_effective_for,DIS000041,MSKCC,,
DSI000268,is_effective_for,DIS000006,MSKCC,,
DSI000268,is_effective_for,DIS000033,MSKCC,,
DSI000268,is_effective_for,DIS000035,MSKCC,,
DSI004652,is_effective_for,DIS000086,MSKCC,,
DSI000161,is_effective_for,DIS000041,MSKCC,,
DSI000161,is_effective_for,DIS000006,MSKCC,,
DSI000161,is_effective_for,DIS000033,MSKCC,,
DSI000161,is_effective_for,DIS000001,MSKCC,,
DSI000161,is_effective_for,DIS000012,MSKCC,,
DSI000161,is_effective_for,DIS000121,MSKCC,,
DSI000161,is_effective_for,DIS000024,MSKCC,,
DSI000161,is_effective_for,DIS000004,MSKCC,,
DSI000161,is_effective_for,DIS000064,MSKCC,,
DSI000161,is_effective_for,DIS000049,MSKCC,,
DSI007843,is_effective_for,DIS000006,MSKCC,,
DSI007843,is_effective_for,DIS000018,MSKCC,,
DSI007843,is_effective_for,DIS000046,MSKCC,,
DSI000811,is_effective_for,DIS000000,MSKCC,,
DSI000811,is_effective_for,DIS000006,MSKCC,,
DSI000811,is_effective_for,DIS000001,MSKCC,,
DSI000811,is_effective_for,DIS000012,MSKCC,,
DSI000811,is_effective_for,DIS000018,MSKCC,,
DSI007844,is_effective_for,DIS000012,MSKCC,,
DSI007844,is_effective_for,DIS000032,MSKCC,,
DSI007844,is_effective_for,DIS000024,MSKCC,,
DSI007844,is_effective_for,DIS000006,MSKCC,,
DSI001312,is_effective_for,DIS000013,MSKCC,,
DSI001312,is_effective_for,DIS000018,MSKCC,,
DSI007845,is_effective_for,DIS000013,MSKCC,,
DSI007845,is_effective_for,DIS000012,MSKCC,,
DSI007845,is_effective_for,DIS000006,MSKCC,,
DSI007845,is_effective_for,DIS000019,MSKCC,,
DSI005204,is_effective_for,DIS000089,MSKCC,,
DSI005204,is_effective_for,DIS000122,MSKCC,,
DSI005204,is_effective_for,DIS000006,MSKCC,,
DSI006641,is_effective_for,DIS000053,MSKCC,,
DSI006641,is_effective_for,DIS000006,MSKCC,,
DSI006641,is_effective_for,DIS000001,MSKCC,,
DSI007817,is_effective_for,DIS000008,MSKCC,,
DSI007817,is_effective_for,DIS000012,MSKCC,,
DSI001908,is_effective_for,DIS000019,MSKCC,,
DSI001908,is_effective_for,DIS000123,MSKCC,,
DSI001908,is_effective_for,DIS000004,MSKCC,,
DSI001908,is_effective_for,DIS000124,MSKCC,,
DSI007846,is_effective_for,DIS000006,MSKCC,,
DSI007847,is_effective_for,DIS000006,MSKCC,,
DSI007847,is_effective_for,DIS000019,MSKCC,,
DSI007848,is_effective_for,DIS000006,MSKCC,,
DSI007848,is_effective_for,DIS000038,MSKCC,,
DSI007848,is_effective_for,DIS000125,MSKCC,,
DSI006563,is_effective_for,DIS000126,MSKCC,,
DSI006563,is_effective_for,DIS000011,MSKCC,,
DSI006563,is_effective_for,DIS000127,MSKCC,,
DSI003894,is_effective_for,DIS000011,MSKCC,,
DSI003894,is_effective_for,DIS000006,MSKCC,,
DSI003894,is_effective_for,DIS000019,MSKCC,,
DSI000282,is_effective_for,DIS000013,MSKCC,,
DSI000282,is_effective_for,DIS000012,MSKCC,,
DSI000282,is_effective_for,DIS000032,MSKCC,,
DSI002722,is_effective_for,DIS000041,MSKCC,,
DSI002722,is_effective_for,DIS000015,MSKCC,,
DSI002722,is_effective_for,DIS000018,MSKCC,,
DSI000192,is_effective_for,DIS000014,MSKCC,,
DSI000192,is_effective_for,DIS000128,MSKCC,,
DSI000192,is_effective_for,DIS000001,MSKCC,,
DSI000192,is_effective_for,DIS000006,MSKCC,,
DSI000192,is_effective_for,DIS000019,MSKCC,,
DSI006707,is_effective_for,DIS000101,MSKCC,,
DSI006707,is_effective_for,DIS000024,MSKCC,,
DSI006707,is_effective_for,DIS000065,MSKCC,,
DSI006707,is_effective_for,DIS000006,MSKCC,,
