DSP,Relation,DSI,Source
DSP000113,has_ingredient,DSI000060,NHP
DSP000113,has_ingredient,DSI000061,NHP
DSP000113,has_ingredient,DSI000082,NHP
DSP000113,has_ingredient,DSI000174,NHP
DSP000113,has_ingredient,DSI000003,NHP
DSP000113,has_ingredient,DSI000081,NHP
DSP000113,has_ingredient,DSI000245,NHP
DSP000113,has_ingredient,DSI000235,NHP
DSP000113,has_ingredient,DSI000246,NHP
DSP000113,has_ingredient,DSI000159,NHP
DSP000113,has_ingredient,DSI000161,NHP
DSP000113,has_ingredient,DSI000074,NHP
DSP000113,has_ingredient,DSI000063,NHP
DSP000113,has_ingredient,DSI000247,NHP
DSP000113,has_ingredient,DSI000162,NHP
DSP000113,has_ingredient,DSI000038,NHP
DSP000113,has_ingredient,DSI000006,NHP
DSP000114,has_ingredient,DSI000248,NHP
DSP000115,has_ingredient,DSI000249,NHP
DSP000115,has_ingredient,DSI000250,NHP
DSP000115,has_ingredient,DSI000145,NHP
DSP000115,has_ingredient,DSI000130,NHP
DSP000115,has_ingredient,DSI000251,NHP
DSP000115,has_ingredient,DSI000132,NHP
DSP000115,has_ingredient,DSI000252,NHP
DSP000115,has_ingredient,DSI000253,NHP
DSP000115,has_ingredient,DSI000133,NHP
DSP000115,has_ingredient,DSI000142,NHP
DSP000116,has_ingredient,DSI000254,NHP
DSP000116,has_ingredient,DSI000255,NHP
DSP000117,has_ingredient,DSI000256,NHP
DSP000118,has_ingredient,DSI000201,NHP
DSP000118,has_ingredient,DSI000066,NHP
DSP000118,has_ingredient,DSI000161,NHP
DSP000119,has_ingredient,DSI000003,NHP
DSP000119,has_ingredient,DSI000192,NHP
DSP000119,has_ingredient,DSI000237,NHP
DSP000119,has_ingredient,DSI000002,NHP
DSP000119,has_ingredient,DSI000036,NHP
DSP000120,has_ingredient,DSI000060,NHP
DSP000121,has_ingredient,DSI000257,NHP
DSP000122,has_ingredient,DSI000158,NHP
DSP000122,has_ingredient,DSI000258,NHP
DSP000122,has_ingredient,DSI000259,NHP
DSP000123,has_ingredient,DSI000046,NHP
DSP000123,has_ingredient,DSI000228,NHP
DSP000124,has_ingredient,DSI000260,NHP
DSP000124,has_ingredient,DSI000261,NHP
DSP000125,has_ingredient,DSI000184,NHP
DSP000126,has_ingredient,DSI000262,NHP
DSP000127,has_ingredient,DSI000263,NHP
DSP000128,has_ingredient,DSI000158,NHP
DSP000128,has_ingredient,DSI000258,NHP
DSP000128,has_ingredient,DSI000259,NHP
DSP000129,has_ingredient,DSI000038,NHP
DSP000130,has_ingredient,DSI000010,NHP
DSP000130,has_ingredient,DSI000087,NHP
DSP000130,has_ingredient,DSI000264,NHP
DSP000130,has_ingredient,DSI000067,NHP
DSP000131,has_ingredient,DSI000265,NHP
DSP000131,has_ingredient,DSI000158,NHP
DSP000131,has_ingredient,DSI000266,NHP
DSP000131,has_ingredient,DSI000188,NHP
DSP000131,has_ingredient,DSI000259,NHP
DSP000131,has_ingredient,DSI000189,NHP
DSP000131,has_ingredient,DSI000001,NHP
DSP000132,has_ingredient,DSI000154,NHP
DSP000132,has_ingredient,DSI000059,NHP
DSP000132,has_ingredient,DSI000046,NHP
DSP000132,has_ingredient,DSI000060,NHP
DSP000132,has_ingredient,DSI000267,NHP
DSP000132,has_ingredient,DSI000074,NHP
DSP000132,has_ingredient,DSI000063,NHP
DSP000132,has_ingredient,DSI000021,NHP
DSP000133,has_ingredient,DSI000161,NHP
DSP000134,has_ingredient,DSI000073,NHP
